point_id,kind,tmfc,hf,var,value
antarctica,temp,2026040700,6,tcld,1.0
antarctica,temp,2026040700,12,t2m,228.969
antarctica,temp,2026040700,12,tcld,0.714688
antarctica,temp,2026040700,18,t2m,227.878
antarctica,temp,2026040700,18,tcld,0.998335
antarctica,temp,2026042300,0,t2m,224.869
antarctica,temp,2026042300,0,tcld,0.557935
antarctica,temp,2026042300,6,t2m,226.063
antarctica,temp,2026042300,6,tcld,0.999998
antarctica,temp,2026042300,12,t2m,226.471
antarctica,temp,2026042300,12,tcld,0.998767
antarctica,temp,2026042300,18,t2m,225.326
antarctica,temp,2026042300,18,tcld,0.965631
antarctica,temp,2026050900,0,t2m,222.489
antarctica,temp,2026050900,0,tcld,0.0
antarctica,temp,2026050900,6,t2m,224.637
antarctica,temp,2026050900,6,tcld,0.991049
antarctica,temp,2026050900,12,t2m,223.332
antarctica,temp,2026050900,12,tcld,0.999911
antarctica,temp,2026050900,18,t2m,223.025
antarctica,temp,2026050900,18,tcld,0.992423
antarctica,temp,2026052500,0,t2m,227.248
antarctica,temp,2026052500,0,tcld,0.967311
antarctica,temp,2026052500,6,t2m,226.488
antarctica,temp,2026052500,6,tcld,0.802339
antarctica,temp,2026052500,12,t2m,227.16
antarctica,temp,2026052500,12,tcld,0.163514
antarctica,temp,2026052500,18,t2m,226.273
antarctica,temp,2026052500,18,tcld,1.0
antarctica,temp,2026061000,0,t2m,227.551
antarctica,temp,2026061000,0,tcld,1.0
antarctica,temp,2026061000,6,t2m,225.787
antarctica,temp,2026061000,6,tcld,1.0
antarctica,temp,2026061000,12,t2m,225.405
antarctica,temp,2026061000,12,tcld,1.0
antarctica,temp,2026061000,18,t2m,224.621
antarctica,temp,2026061000,18,tcld,1.0
antarctica,temp,2026062600,0,t2m,220.019
antarctica,temp,2026062600,0,tcld,0.0
antarctica,temp,2026062600,6,t2m,220.114
antarctica,temp,2026062600,6,tcld,0.0
antarctica,temp,2026062600,12,t2m,220.196
antarctica,temp,2026062600,12,tcld,0.0
antarctica,temp,2026062600,18,t2m,219.37
antarctica,temp,2026062600,18,tcld,0.0
