tmfc,lat,lon,t2m,psl
2026032300,-37.5112,-114.6647,294.738,102888.0
2026032700,-86.2688,-33.5118,238.771,97947.2
2026032700,-64.6126,42.0139,272.407,97279.4
2026032700,-54.0322,-5.2539,274.616,101132.0
2026032700,5.1246,52.1926,301.667,101028.0
2026032700,13.2765,41.4556,297.661,100915.0
2026032700,-5.5405,85.1267,301.508,100800.0
2026032700,-58.5763,-136.9324,274.841,101452.0
2026032700,-24.1594,-4.302,295.553,101617.0
2026032700,-18.1106,117.4825,302.055,100896.0
2026032700,-16.6171,-112.267,298.462,101300.0
2026032700,28.0551,19.3057,285.867,101253.0
2026032700,44.1569,135.0991,277.964,101214.0
2026032700,5.8506,-122.1354,300.3,100743.0
2026032700,-33.0951,41.8577,296.394,101919.0
2026032700,-59.3714,48.3341,273.889,97473.4
2026032700,-27.96,-141.9073,298.647,101750.0
2026032700,-15.959,153.1564,300.42,100917.0
2026032700,-22.033,78.5401,297.815,101602.0
2026032700,-31.4523,-53.7227,294.832,101481.0
2026032700,-18.6762,-118.4332,298.821,101426.0
2026032700,50.7558,105.1937,269.884,101877.0
2026032700,31.9164,-35.7934,291.822,102640.0
2026032700,-48.2179,36.1501,277.09,100631.0
2026032700,7.8201,-81.1665,301.503,100808.0
2026032700,45.8533,-74.4682,274.193,100635.0
2026032700,16.1661,-155.5425,297.786,101115.0
2026032700,-50.292,-48.3178,280.747,100656.0
2026032700,28.27,-67.9019,295.653,102078.0
2026032700,-65.4372,43.6317,272.528,96952.0
2026032700,-37.5112,-114.6647,293.078,102408.0
2026033100,-86.2688,-33.5118,232.654,100162.0
2026033100,-64.6126,42.0139,273.246,100220.0
2026033100,-54.0322,-5.2539,273.432,99558.9
2026033100,5.1246,52.1926,301.694,100844.0
2026033100,13.2765,41.4556,301.536,100608.0
2026033100,-5.5405,85.1267,301.174,100859.0
2026033100,-58.5763,-136.9324,276.545,100348.0
2026033100,-24.1594,-4.302,296.063,101600.0
2026033100,-18.1106,117.4825,300.458,101301.0
2026033100,-16.6171,-112.267,298.243,101355.0
2026033100,28.0551,19.3057,288.307,100901.0
2026033100,44.1569,135.0991,277.822,101610.0
2026033100,5.8506,-122.1354,301.129,100849.0
2026033100,-33.0951,41.8577,294.887,101614.0
2026033100,-59.3714,48.3341,273.699,100707.0
2026033100,-27.96,-141.9073,298.739,101927.0
2026033100,-15.959,153.1564,301.229,101204.0
2026033100,-22.033,78.5401,297.974,101460.0
2026033100,-31.4523,-53.7227,296.224,101393.0
2026033100,-18.6762,-118.4332,298.804,101465.0
2026033100,50.7558,105.1937,266.09,102614.0
2026033100,31.9164,-35.7934,292.374,102540.0
2026033100,-48.2179,36.1501,279.215,101376.0
2026033100,7.8201,-81.1665,302.184,100940.0
2026033100,45.8533,-74.4682,278.814,101357.0
2026033100,16.1661,-155.5425,296.525,101315.0
2026033100,-50.292,-48.3178,282.113,101052.0
2026033100,28.27,-67.9019,293.804,102745.0
2026033100,-65.4372,43.6317,273.068,100268.0
2026033100,-37.5112,-114.6647,290.907,102351.0
2026040300,-86.2688,-33.5118,235.456,97413.7
2026040300,-64.6126,42.0139,273.205,100407.0
2026040300,-54.0322,-5.2539,273.681,98454.5
2026040300,5.1246,52.1926,301.161,101075.0
2026040300,13.2765,41.4556,304.192,100618.0
2026040300,-5.5405,85.1267,301.898,100980.0
2026040300,-58.5763,-136.9324,274.659,97398.9
2026040300,-24.1594,-4.302,296.857,102153.0
2026040300,-18.1106,117.4825,301.21,101329.0
2026040300,-16.6171,-112.267,298.1,101087.0
2026040300,28.0551,19.3057,286.601,101491.0
2026040300,44.1569,135.0991,281.404,101256.0
2026040300,5.8506,-122.1354,300.806,100755.0
2026040300,-33.0951,41.8577,293.507,102489.0
2026040300,-59.3714,48.3341,274.384,101829.0
2026040300,-27.96,-141.9073,298.593,101667.0
2026040300,-15.959,153.1564,301.547,100930.0
2026040300,-22.033,78.5401,298.614,101626.0
2026040300,-31.4523,-53.7227,295.524,101202.0
